sentence_id,l1,cefr,cefr_numeric,topic,grade,wordcount,nationality,text,target_word,register_label,register_markedness_llm,substitution_natural_llm,simpler_alternative_llm,confidence_llm,selection_tier,latinate_word,germanic_word,context_label (human),register_markedness (human),substitution_naturalness (human),simpler_alternative (human),confidence (human),comment (human),annotator_id
10,French,A1,1,Describing your family in an email,70,25,fr,My school friends is very friendly to me. She's from Marseille in France. She's hardworking and we hard work  with her for obtain our certificate.,obtain,neutral essay,1,1,get,3,marked_conf2plus,obtain,get,neutral,1,1,get,3,"Obtain’ sounds unnatural and robotic in casual writing; use ‘get’ for a more human, natural tone.",darragh
6945,French,A2,2,Filling in an arrival card,90,115,fr,"When I was 18 years old my mother learned me to drive a car and I drove many hours with her. The 2nd december 1986 at 11.00 A.M., I passed my driving licence and I was so happy to obtain it. At 1.00 P.M. the same day I took, for the first time, the car alone, I turned on my left and a car was parking on the street I waited patiently behind it. I don't know why yet today but man in the car in front of me put the walking rear on and broke completely my car. I think it has been the most quick accident in my city.",obtain,neutral essay,1,1,get,3,marked_conf2plus,obtain,get,informal,1,1,get,3,“Obtain” is grammatically correct but too formal and stiff for a personal story; “get” makes it sound natural and human.,darragh
394,French,A1,1,Describing your favorite day,95,57,fr,"I arrive at work at 9h00 (I put 20 minutes on the way). I began to check my mails. If i receive requests for action, I move among users for help. I lunch at 12h30 and resume work at 13h30. I spend the afternoon if the activity is quiet to repair computers. I left work at 17h00.",receive,neutral essay,1,0,,3,marked_conf2plus,receive,get,informal,0,1,get,3,"“Receive” is grammatically correct but slightly formal for describing a daily routine; “get” is more natural in casual, neutral writing.",darragh
2254,French,A1,1,Updating your online profile,100,46,fr,"I always see to big department stores, but I often buy to small shops. Small shops are more friendly and sales assistants are there for to recommend something. I very rarely shop online, because I'm not sure to receive my order quickly, yet it's better cheap.",receive,neutral essay,1,1,get,3,marked_conf2plus,receive,get,informal,1,1,get,3,"“Receive” is correct grammatically, but in informal, personal writing like an online profile, “get” (the order sent) is more natural and conversational.",darragh
5168,French,A2,2,Writing a party invitation,95,59,fr,"There was a theft ten years ago just in front of my own house ! Our camping-car was stolen during a night ; nobody had heart the thieves, neither my oldest son who was asleep in his room, neither the neighbors. The day after this night, my husband has informed the police ; but it was impossible to refind the car.",inform,neutral essay,1,0,,3,marked_conf2plus,inform,tell,neutral,0,1,told,2,"Inform’ is correct and appropriate in formal or official contexts, but since this is supposed to be a personal story or even a party invitation the whole text is completely off-topic and the word choice highlights the mismatch.",darragh
5436,French,A2,2,Writing a resume,80,81,fr,"To: xxx@orange.fr xxx@orange.fr Subject: Paris networking event. Hi Adele and Yves Yesterday, I took part in a networking event in Paris. There were about fifty of retirement houses' managers. Their purpose was to share a modern computer network. They were very interested by our innovative product. I am confident that they will call me for making appointments. I 'll inform you about developpemts of this deal. Just give me a call if you have any questions. Pierre.",inform,informal,1,1,contact,3,marked_conf2plus,inform,tell,formal,0,0,"let (you know), update (you)",3,“Inform” is correct and fits the formal/professional tone expected in a resume or business communication. Casual alternatives like “tell” or “let you know” would be inappropriate here.,darragh
394,French,A1,1,Describing your favorite day,95,57,fr,"I arrive at work at 9h00 (I put 20 minutes on the way). I began to check my mails. If i receive requests for action, I move among users for help. I lunch at 12h30 and resume work at 13h30. I spend the afternoon if the activity is quiet to repair computers. I left work at 17h00.",request,neutral essay,1,0,,3,marked_conf2plus,request,ask,informal,1,1,"get, am given (to be given)",3,"Receive’ sounds unnatural in this informal, storytelling context. A more natural word would be ‘get’, or you could use ‘be given’ to keep the meaning clear.",darragh
1294,French,A1,1,Describing your favorite day,90,107,fr,"Dear M. SAMSON,  I am wrtiting to you in reference to your inqury regarding the ""ManBag"" surveys you have requested, about Rio de Janeiro and Shanghai.  For all the final details, you could examin them in the file attachement. But before all, let me summurize our methodology:  1- We carried out by tooking a sample number wich was representative and totally linkes with your market aim. 2- Used a questionnary with closed and open answers. 3- Had compiled all their responses and analyzed them by different spcific items.  If you have any questions, i will be pleased to help you.  Best wishes James Tufnell Head of Research",request,academic,1,1,made,3,marked_conf2plus,request,ask,,,,,,,
7507,French,A2,2,Filling out an insurance claim form,90,117,fr,"The star wars is an old movies but has one of the most exciting plots I've ever seen. The film was directed by the famous Georges Lucas and had some of the best special effects ever seen before. Star wars has also excellent's actors, for example Harrison Ford or Liam Neeson. The story about Luke Skywalker who's joins forces with a Jedi, a cocky pilot plays by Harrisson , a wookiee and two droids to save the universe from the Empire's Evil, while also attempting to rescue Princess Leia from the evil Dark Vador. Finally, I love a lot the soundtrack of Star wars. No one had seen this type of movies before neither a soundtrack as fantastic.",attempt,neutral essay,1,0,,3,marked_conf2plus,attempt,try,,,,,,,
11720,French,B2,4,Helping a friend find a job,70,122,fr,"At the beginning of the meeting, the CEO said that company said that company was many troubles, and we had a Financial trouble, and it willbe important to figure out about this company. We had many troubles with the workers. I received many complains from the clients. The CFO suggested that the only solution to keep our company, is a merger with another company. It is the best solution. It wiil be important to have a large discussion withthe workers, about these propositions. The CFO will have the last decision, and I would like to have the right answers from people. I would like to thank us to attempt to this meeting, I know you are so busy. Thank you very much.",attempt,neutral essay,1,1,try,3,marked_conf2plus,attempt,try,,,,,,,
233,French,A1,1,Writing your online profile,80,37,fr,I'm nurse for ten years. I work in a hospital surgery department. My studies lasted three years. this a work has allowed me to travel around world. I love this job. It provides help to meet people.,provide,neutral essay,1,0,,3,marked_conf2plus,provide,give,,,,,,,
5151,French,A2,2,Writing a resume,90,66,fr,"To : Laurent.xxx@DB.COM from : xxx@dbmail.com Subject : Lyon networking event Hello Andrea, I was returned to the new networking event in Lyon. We were hundreds people to provide our own concept about compagny'products. I met Deborah and i think that she was very interested about my products. She'll probably call me. Others were into the reflexion. I'll get you the next week. andra",provide,news,1,1,send,3,marked_conf2plus,provide,give,,,,,,,
5631,French,A2,2,Writing a party invitation,90,60,fr,"Two month ago, i was in a supermarket and i saw a theft. The thief was a middle aged man, and he stole a video game and he gone out in running. The security arrived shortly and he arrested the thief. The thief heat the security officer but a second officier arrived and maintained the thief until return of calm.",maintain,news,1,1,held,3,marked_conf2plus,maintain,keep,,,,,,,
9775,French,B1,3,Giving instructions to play a game,80,100,fr,"I'm optimistic for the future because there are a lot of opportunities for develop and improve the world. The development of the electric cars it's a wonderful idea for maintain the environment. Currently, environment it's a big problem for our future because if we don't keep the earth clean, there will be no future for the world. I think also that gasoline it's too expensive and it's a problem for the future because the economy actualy is very difficult for  lot of people. We must find another source but it's difficult because gasoline represent many money for some of contries.",maintain,academic,1,1,maintain the development,3,marked_conf2plus,maintain,keep,,,,,,,
8210,French,A2,2,Planning to attend a music festival,80,74,fr,"On 9 of March I have departed to Birmani by flight . The vravel has been so long and I have still got terrible jet lag . The good news is that I've stayed  in the best hotel of the city , I've had a good slepping . Today I've visited somme old beautigful bouildings   in down town and I've discovered a lot of nice markets that i've never seen befor where we can buy the good souvenirs .",depart,neutral essay,1,0,,3,marked_conf2plus,depart,leave,,,,,,,
15030,Spanish,A1,1,Giving directions to a party at home,90,45,mx,"In November mexico celebrate the arrival of the faithful departed, the days one and two of November, people visit families have cementerios. Las as representing music and food to celebrate with them, and throughout the country prepares the mucmipollo very famous because they are delisiosos",depart,neutral essay,1,1,leave,3,marked_conf2plus,depart,leave,,,,,,,
37541,Spanish,C1,5,Renting out a room,90,118,mx,"I still don''t know an amaizing building, but I would like to speak about HSBC building, many people work in this building, so it is equiped with the hiest technology into it.the air condition is controled by a soft ware as ilumination and doors, let me described what I learned when I worked for a company that provides some kind of service in order to keep all the equipments around the building, in fact there were 12 floors per tower, as you know if an air condition equipment doesn''t work correctly, employees will feel unconfortable in this place, there aren''t wonderful things in this building, however is one of the tallest in Monterrey Mexico",place,neutral essay,1,0,,3,marked_conf2plus,place,put,,,,,,,
33,French,A1,1,Making notes for a visitor,95,52,fr,"They're a lot a of good places in my town. The Pizza Del Arte, which is on the national road, next the Mac Donald, is my favorite restaurant. I don't like the chineese restaurant near the pizza place. I prefer this one which is behind the post office, in front the supermarket.",place,neutral essay,1,1,locations,3,marked_conf2plus,place,put,,,,,,,
5101,French,A2,2,Writing a holiday postcard,90,66,fr,"France has got a large variety of landscapes with many different wildlives. Along the atlantic ocean, you can observe a lot of birds and near the mediterraneen sea, dolphins can sometimes be seen. In the mountains, brouwn bears and wolves have these last decades  been reintroduced. But, even if we have really nice glaciers in the alps, you will never see a white bear on them!",observe,neutral essay,1,1,spot,3,marked_conf2plus,observe,see,,,,,,,
8000,French,A2,2,Summarizing a story,95,61,fr,"I don't like special suit. I love classic suit. Classic is more simple to wear when you work in a big industry or small compagny. When you are classic, the people don't observe to you. You are transparent.. You can go everywere, when you want. So I prefer to wear great, new, cotton T-shirt with blue jean and classic shoes.",observe,informal,1,1,notice,3,marked_conf2plus,observe,see,,,,,,,
1031,French,A1,1,Describing your favorite day,70,63,fr,"Report concerning the sales In the other side ""the would buy"" is just considered as ""OK"" Conclusions : Not enough market research was carried out before commercialization. Not enough segmentations have been studied, corresponding to the tastes in different countries. Recommendations : Most research remain to be done on man's willings concerning ""Manbag"". Considerations regarding style, colors, syze and designed still have to be improved.",consider,academic,1,1,considered,3,marked_conf2plus,consider,think,,,,,,,
1585,French,A1,1,Describing your favorite day,80,23,fr,Reportnot recognition of the diversity in styles and tastes was considered Recommendations More research more sporty design bigger size basic colors leather material,consider,academic,1,1,considers,3,marked_conf2plus,consider,think,,,,,,,
8439,French,B1,3,Giving instructions to play a game,90,80,fr,"I believe in the future because I am optimistic. The world history shows that the world has to face when everything goes wrong. US, Europ, and the developping world leave in the same village now. The creativity of the people is amazing, everything goes faster and faster. The best is sure unless the Human becomes a rabid animal but I find it hard to believe this situation. Some of the predictions are pessimistics, we must demonstrate otherwise. Live the life !!!",demonstrate,informal,1,0,demonstrate,3,marked_conf2plus,demonstrate,show,,,,,,,
8683,French,B1,3,Giving instructions to play a game,80,98,fr,"I'm very optimistic about us future because I'm a student on the field to renewable and sustainable energy ! See the crisis energy at this time from to running out of the fossils energy and with all the problems that the nuclear energy generate such as : the pollution due to the waste nuclear, the huge risk develops around the uranium exploitation etc... So, if the governments believe at the future technology, we will can to use the wind, electric, water, sun energy to produce electricity as the demonstrate a Islands at the North of Danemark , 100 % dependant in electricity !",demonstrate,neutral essay,1,0,,3,marked_conf2plus,demonstrate,show,,,,,,,
4762,French,A2,2,Writing an email of advice,80,72,fr,Angry Birds is a kind of video who passe the time when you're boring. You have to launch small birds to a construction that small piggy's has constructed to liberate the other birds trapped in it. So you have to adjust you launching in the power and degree to target at the weak spot of the construction. Many other games are similar to this on but Angry Birds is the most popular.,construct,neutral essay,1,1,build,3,marked_conf2plus,construct,build,,,,,,,
8565,French,B1,3,Giving instructions to play a game,100,51,fr,"I'm really pessimistic about the future. Even if lot of things are made in place to decrease the greenhouse effect, there is too much enterprises, countries who consumes gasoline. We have to change entirely the way to construct electricity. Not just for private person but for all the world like enterprises.",construct,informal,1,0,,3,marked_conf2plus,construct,build,,,,,,,
29700,Spanish,A2,2,Writing on the family blog,95,79,mx,"Hello team. My new proposal is to hire 2 tailors for terminate the jeans order. I know that this hiring is expensive but with the new staff, we can deliver the order two week before. And, the big pro is we'll earn a bonus for prompt delivery. Also, we will get a reputation in the market. However, There is a little disadvantage, for the hiring only we have tomorrow. So that, I suggest looking tailors who know the company.",terminate,academic,1,1,end,3,marked_conf2plus,terminate,end,,,,,,,
32083,Spanish,B1,3,Planning for the future,95,83,mx,"Dear Samuel, You have been my friend for a long time, so I want to tell you about my future. I have decided to terminate my career and then I'll get a great job in a important company of technology, Actually I have been studying english for 2 years and if I were solicited for a strange company I would go to live there, in the company's contry, I hope to see you soon, you are a good friend, thanks for your friendship!",terminate,neutral essay,1,1,end,3,marked_conf2plus,terminate,end,,,,,,,
