sentence_id,l1,cefr,cefr_numeric,topic,grade,wordcount,nationality,text,target_word,register_label,register_markedness_llm,substitution_natural_llm,simpler_alternative_llm,confidence_llm
76,French,A2,2.0,Writing about what you do,95.0,54.0,fr,"Lynda Lemay will be in Tour on Friday, March 21st. She will perform in the Center of the congresses Vinci at 8:30 pm. She will present her new album, a journey in every corner of the life, in poetry, in music, in song. The price of the place is between 42 and 45 euros.",place,neutral essay,1,0,,3
84,French,A2,2.0,Writing a movie plot,90.0,84.0,fr,"Dear all, I summarize the sales meeting of june 29th. Prensent : Adam, Chris Taylor. At the beginning of the meeting, Adam asked the number of new customer and Taylor told they're around 50. Chris asked what we are doing to increase sales and Taylor said that we should encourage salespeople with big sales by increasing their salaries. At the end of meeting, we have defined the action item. Taylor told that we all have to think about anything that will increase sales. bes regards",increase,news,1,1,rise,3
89,French,A2,2.0,Writing on the family blog,90.0,81.0,fr,"Dear all, I'm writing to inform you about the reopening of the canteen. I know that most of you are concerned by the quality of the dishes served. But no fear, we hire a chef who has already work for most of the luxurious restaurants of the place and we think that past eroors will not occur. Is our concern to have the staff satisfied ad we know that it passed by good food. We hope all enjoy the new dishes.",inform,ambiguous,1,1,inform,3
89,French,A2,2.0,Writing on the family blog,90.0,81.0,fr,"Dear all, I'm writing to inform you about the reopening of the canteen. I know that most of you are concerned by the quality of the dishes served. But no fear, we hire a chef who has already work for most of the luxurious restaurants of the place and we think that past eroors will not occur. Is our concern to have the staff satisfied ad we know that it passed by good food. We hope all enjoy the new dishes.",occur,ambiguous,1,0,,3
89,French,A2,2.0,Writing on the family blog,90.0,81.0,fr,"Dear all, I'm writing to inform you about the reopening of the canteen. I know that most of you are concerned by the quality of the dishes served. But no fear, we hire a chef who has already work for most of the luxurious restaurants of the place and we think that past eroors will not occur. Is our concern to have the staff satisfied ad we know that it passed by good food. We hope all enjoy the new dishes.",place,neutral essay,0,0,,3
93,French,A2,2.0,Writing a movie plot,100.0,87.0,fr,"To: xxx@SC.com From: xxx@SC.com Subject: Summary of Tangle Teezer roll-up meeting Charles, I summarize our Tangle Teezer roll-up meeting from Tuesday: - Jerome asked what kind of customers would be interested by our roll-up. Herve said that many firms could be interested, as hairdressing salons. - Janick asked how many roll-up we have to make up. Herve said more than thirty. Forty, perhaps. Action item: Herve said that we have to find more customers and develop Tangle Teezer brand. Thanks. Stephanie",perhaps,neutral essay,0,0,,3
96,French,A2,2.0,Writing a holiday postcard,95.0,82.0,fr,"In my country there are mountains and ocean. France is the most visited country. There are many places wonderful. It is difficult to decide where going. For my English friends I suggest to go in Bretagne, in Dordogne and in Pyrnes. In Bretagne the ocean is cold, but the coast is wild and beautiful. In Dordogne the weather is soft, the food is delicious and people very kind. In Pyrnes the flowers have wonderful colors, the streams and waterfalls are really cool.",place,neutral essay,0,1,locations,3
101,French,A2,2.0,Writing a movie plot,70.0,65.0,fr,"Summary sales meeting.  Hi, I'm writting to summariz our meeting:  - Adam asked how new customers we have. Taylor said that we have about 50 new customers.  - Chris asked what we are doing to increase sales and Taylor said that we should pay more to salespeople with big sales.  Action item: -We have to think of anaything else for increase sales Do I miss anything?  Thanks",increase,neutral essay,0,1,boost,3
102,French,A2,2.0,Writing on the family blog,95.0,94.0,fr,"As you know, we have to cut expenses. I reviewed the commercial situation and one of way to decrease costs is to find a cheaper subcontractor to work with. Indeed, KRP our current subcontractor is too expensive and its manager doesn't want to reduce prices. This deal presents advantages and disadvantages. The biggest advantage is that there will be no layoff. But, employees will have to get used to new persons and work more. I guess that staff could be concerned about this total change. Next Friday, I'll set out more about this project.",decrease,neutral essay,1,1,reduce,3
117,French,A2,2.0,Labeling photos from a safari,90.0,66.0,fr,"I first met my bestfriend, Franois, when I was in primary school. He has brown hair, wore glasses and was very nice. We were in the same school and in the same class. We were inseparable. He lived near at my house. Nowadays, he wears always glasses and he is very tall. Franois and I enjoy going to the cinema or going to the swimming pool.",primary,neutral essay,0,0,,3
124,French,B1,3.0,Giving instructions to play a game,95.0,66.0,fr,"I'm pretty optimistic about the future. Indeed,  companies up and up made sensitive regarding the global warming but I'm little pessimistic concerning some companies which continue to pollute despite the laws. I read a report say some companies offer transportation public to its employees in order to decrease pollution risks. I'm so optimistic regarding this idea because some people will be sensitive to the environment protection.",decrease,neutral essay,1,1,decrease,3
131,French,B1,3.0,Asking for leave,70.0,129.0,fr,"In France, it exist a form od politeness and etiquette, this is some pointers. For example it's rude and forbidden spitting in the street and impolite slurpping in public. The punctuality is important, you're expected to arrive at time or with five or ten minutes in advance at a business meeting. When you're invited at someone's home it's polite to arrive with a smal gift with five or ten minutes in late. Moreover it's impolite to phone after10 p.m except for good friends. In the public transport you're supposed to give your seat to ederly people or expectant mother. In the elevator, public transport it's impolite staring people. When you arrive in a room you supposed to bow people but not always shake hand however it's an usage.",arrive,news,0,0,,1
131,French,B1,3.0,Asking for leave,70.0,129.0,fr,"In France, it exist a form od politeness and etiquette, this is some pointers. For example it's rude and forbidden spitting in the street and impolite slurpping in public. The punctuality is important, you're expected to arrive at time or with five or ten minutes in advance at a business meeting. When you're invited at someone's home it's polite to arrive with a smal gift with five or ten minutes in late. Moreover it's impolite to phone after10 p.m except for good friends. In the public transport you're supposed to give your seat to ederly people or expectant mother. In the elevator, public transport it's impolite staring people. When you arrive in a room you supposed to bow people but not always shake hand however it's an usage.",however,news,0,0,,1
132,French,B1,3.0,Writing about a memorable experience,95.0,91.0,fr,"In France we have a lot of reality TV shows.I do not like these programs at all. In my opinion this is not real,everything is staged. It''s caricatural and full of clichs. That''s suggests that we can be famous without talent or work. It''s ephemeral and it''s difficult for candidates to return to real life when the program ends. For me it''s not entertaining but sad. We should give meaning to these programs by candidates complete a project by the end of the show.",complete,neutral essay,1,1,complete,3
133,French,B1,3.0,Giving instructions to play a game,90.0,81.0,fr,I'm pessimistic about the future. I think that the future depends on the shareholders. Doctors will do diagnostics by teleconferencing or find illness thanks to smart robots or scanners more efficient but they will not find a solution against cancer cells. I think that scientist have still found solutions but benefits are too poor. Many illness has been real since several years as the VIH and no medicine has been found. I find it hard to be optimistic about the health.,since,neutral essay,1,1,since,3
135,French,B1,3.0,Taking part in a TV viewing survey,70.0,107.0,fr,"In France, the education is obligatory from six years old up to sixteen years old. But the school at home is staying legal. Unfortunately, there are many pupils and students in difficulty. Education system becomes unequal , the quality is damaged itself gradually . In french school, language teaching is very inefficient. Education system must become more reliable for all children. We must revalue teaching profession morally, materially and socially. In France, there is always a competition between public and private. Private school are too expensive , and public school are free . But for example ,the public university where engineers has been trained are certainly better considered than private school.",consider,neutral essay,1,0,,3
138,French,B1,3.0,Describing a business trip,100.0,134.0,fr,"I would like to summarize you the last meeting we had with all the staff. First, we start with the students progression. Every teacher meets the deadline for this quarter, so thats a good news. And there is more, the administration finally decide to divide the classrooms by two, so for the next semester well just have 20 students per class. Also, we were all agreed that its vital to create more speaking classes. There is one bad news, by the time we were attending to the meeting, the administration made our schedules, so we cant have a word about it. Some teachers will have to work until 22 oclock!  However, the class will start at eight thirty, so no more delay allowed in class! Look forward to seeing you tomorrow at your office!",however,neutral essay,0,0,,3
139,French,B1,3.0,Giving instructions to play a game,95.0,99.0,fr,"I think that the future will be more easy for our children, the new technology will helps them and make the life more easier and more comfortable. But there is a big issue; pollution, which we should focused on it. Some solutions existing and we have to apply its, beginning with electric car, we will decrease the need of coal and gasoline. We can also provide electricity from solar panels. And we have to take a strict decision about the laws to protect environment. I am optimistic for the future with a little scarring of the problem of pollution",decrease,neutral essay,0,1,offer,3
139,French,B1,3.0,Giving instructions to play a game,95.0,99.0,fr,"I think that the future will be more easy for our children, the new technology will helps them and make the life more easier and more comfortable. But there is a big issue; pollution, which we should focused on it. Some solutions existing and we have to apply its, beginning with electric car, we will decrease the need of coal and gasoline. We can also provide electricity from solar panels. And we have to take a strict decision about the laws to protect environment. I am optimistic for the future with a little scarring of the problem of pollution",provide,neutral essay,0,1,offer,3
142,French,B1,3.0,Studying online,80.0,99.0,fr,"Hi, You can see below a short review about our negociations during the last week. As we decide together, you make decision to acquire NubianFX software on all your Entreprise. In detail, the preliminary offer is 100.000$ for 10.000 servers. Like you say, such as it isn't possible for you because of budget, we decide to offer you a bulk discount. The price becomes 50.000$.  It's important to know that it's a fair price and there's just no way to decrease more then. We notice that this total purchase include covers parts and labor. Best regards",decrease,news,0,0,,3
142,French,B1,3.0,Studying online,80.0,99.0,fr,"Hi, You can see below a short review about our negociations during the last week. As we decide together, you make decision to acquire NubianFX software on all your Entreprise. In detail, the preliminary offer is 100.000$ for 10.000 servers. Like you say, such as it isn't possible for you because of budget, we decide to offer you a bulk discount. The price becomes 50.000$.  It's important to know that it's a fair price and there's just no way to decrease more then. We notice that this total purchase include covers parts and labor. Best regards",purchase,neutral essay,1,1,buy,3
148,French,B1,3.0,Signing a waiver to go skydiving,90.0,57.0,fr,"In France, laws are very strict. In the same way in Australia, it is prohibited to use your cellphone while driving, even if you abundant! Sometimes, the Mayor creates a law to govern and prohibit the behaviour of just one person! This is a bit crazy but this is the way of working of the french state.",prohibit,news,1,1,ban,3
148,French,B1,3.0,Signing a waiver to go skydiving,90.0,57.0,fr,"In France, laws are very strict. In the same way in Australia, it is prohibited to use your cellphone while driving, even if you abundant! Sometimes, the Mayor creates a law to govern and prohibit the behaviour of just one person! This is a bit crazy but this is the way of working of the french state.",state,news,1,1,govern,3
150,French,B1,3.0,Making a business proposal,95.0,102.0,fr,"For my future, I'm very optimistic. In a few months, I'll get an engineering degree and many opportunities will come to me. I'll want to find a job in the equestrian world and build my own stable in parallel. I hope my future job will permit me to develop myself. My retirement is very away but I hope all my wishes come true. I'll have found a family before I'm 35 and I'll have develop a good breedind before I'm 50. It seems as though it's possible if I'm very motivated. In all cases, I hope to be happy in my life.",permit,informal,0,0,,1
151,French,B1,3.0,Planning for the future,95.0,84.0,fr,"Hi Helen, As you know, I'm a little old now, my whole life is not before me, there is much behind. If I'm in good health for many years, I would travel in the world and see many people. For that I'm learning English. If I speak well, I would discuss whit everybody. Later I'll travel with my grandchildren everywhere. But the more important thing for me, now and later, is to work for a fairer world. I know you understand me. Love. Martine",discuss,informal,0,1,talk,3
154,French,B1,3.0,Giving instructions to play a game,70.0,82.0,fr,"For the future, I'm optimistic but also pessimistic. Optimistic because with internet and the new technology, we will can better communicate and worh together. It's very realistic and amazing. But I'm very pessimistic about the pollution. I believes our government buid more and more factories and I'm afrid that it's no good for the health. In the future, will have to decrease car's number because there are too much it nowadays. I hope we only will use eletric cars. But I doubt.",decrease,neutral essay,1,1,decreasing,3
155,French,B1,3.0,Taking part in a TV viewing survey,90.0,130.0,fr,"Well, if you come in Paris, I think it's more easier to find evening class to study in the way you want . May be you can try online class but i don't know if it's elaborating. In fact in france the education system is more exclusive. So you have to go to private school and the cost sometimes could be crazy. And more of that you should pass test to prove your skill. Therefore you have to think what you want to study. For me i have learnt to be scriptwriter since a long time. The only cheaper online course i found was in the Canada. In France i found some online course but it was too expensive for. So may be you can take online course in another country.",since,neutral essay,0,0,,1
155,French,B1,3.0,Taking part in a TV viewing survey,90.0,130.0,fr,"Well, if you come in Paris, I think it's more easier to find evening class to study in the way you want . May be you can try online class but i don't know if it's elaborating. In fact in france the education system is more exclusive. So you have to go to private school and the cost sometimes could be crazy. And more of that you should pass test to prove your skill. Therefore you have to think what you want to study. For me i have learnt to be scriptwriter since a long time. The only cheaper online course i found was in the Canada. In France i found some online course but it was too expensive for. So may be you can take online course in another country.",therefore,neutral essay,0,0,,1
157,French,B1,3.0,Giving instructions to play a game,80.0,70.0,fr,I doubt about the futur. Few countries are developping their industries. What are the consequences? More people don't work. I am not against technology developpement but i think we shouldn't use it to replace human by robots unless it helps scientists and doctor to improve health.  Many government give priority to importation than exportation. It increases economic problems. And i am not sure this situation will change in the future.,increase,neutral essay,1,1,increasing,3
158,French,B1,3.0,Giving instructions to play a game,70.0,77.0,fr,"We are currently seven billions human being on earth and ONU predicts that at the end on the XXIth century it will reach more than ten billions. It's quite awful : does our old nice planet be able to absorb such a big increase of the population? If governments don't take severe mesures to control pollution, use of energy and production of foods, we will face a tricky situation which will may lead to the end of mankind!",increase,neutral essay,1,1,increase,3
161,French,B1,3.0,Writing about a memorable experience,95.0,100.0,fr,"In France, there are various educational programs and documentaries on channels such as Arte. There are historical or animal life. On the other hand, I think that there are too many American movies or American TV shows  and seldom not enough of another country or movies French. In my opinion, there isn't too much sex or violence on TV, but there are however too many reality shows. What's good is that despite everything in France there are strings of information varied as BFM TV, or so, when the cable TV can have European and foreign channels such as EURO NEWS.",however,neutral essay,1,1,but,3
162,French,B1,3.0,Writing a natural remedies pamphlet,95.0,115.0,fr,"Dear Sandrine I have just heard a song called ""Home Improvement"" by John Woodward. I like the singer's voice but I think there s'not much of a beat and the melody never changes so it is a bit annoying. Moreover I dont't really like guitar. it is not a song you can dance on; it is a song you can listen in your bed when you want to relax. It is a shame because the words are very interesting. The mood is sad but it is normal. I do not advise you this song since I know you like romantic songs, beat changes and singers who can hit high sounds (like Scorpions) Yours faithfully Laurence",since,informal,1,1,since,3
163,French,B1,3.0,Signing a waiver to go skydiving,90.0,114.0,fr,"It's well-known that people dislikes rules. However, they are necessary to make the consequences of our acts bearable fot the others. One advice says that you should not do to the others what you would dislike they do to you. Law is useful therein. By drawing the line, it allows people to be respectful towards the others and to avoid physical and psychologic injuries. Do you imagine a world without any driving regulations ? I would be afraid at every corner and you too. And we would finally be okay to create laws. Laws are necessary to live together even if they seem to be strict and sometimes too restrictive at an individual level.",however,academic,1,1,however,3
164,French,B1,3.0,Making a 'to do' list of your dreams,95.0,93.0,fr,"Currently, I'm student in engineering school to become project leader in innovation. In two months' time, I will be in an equestrian company in order to develop a new range of products for horses. For the moment, it's only a traineeship but I hope I'm going to manage to get a job in this company to fulfill my dreams. However, I think this obligatory stage for my degree can help me to open several doors and to permit me to get a job in equestrian industry. It's my main wish for my future.",however,neutral essay,0,0,,3
164,French,B1,3.0,Making a 'to do' list of your dreams,95.0,93.0,fr,"Currently, I'm student in engineering school to become project leader in innovation. In two months' time, I will be in an equestrian company in order to develop a new range of products for horses. For the moment, it's only a traineeship but I hope I'm going to manage to get a job in this company to fulfill my dreams. However, I think this obligatory stage for my degree can help me to open several doors and to permit me to get a job in equestrian industry. It's my main wish for my future.",permit,neutral essay,0,0,,3
167,French,B1,3.0,Selling items in an online auction,90.0,127.0,fr,"I'm just 18, so I can't say that Internet changed my life because I'm from the Internet native generation. However, I have followed the evolution of the new technologies such as I-phone. I hadn't been texting before I bought my first I-phone three years ago. In my opinion, it's the easier way to keep contact with friends and family. Furthermore, my phone is also useful for my studies due to many learning apps, but also to do some sport, and the most important, to listen my music. I think I''m using it more than three or four hour a day, that's why the battery is died at the end of the journey. In conclusion, I think the I-phone has become essential for me.",however,neutral essay,1,0,,3
170,French,B1,3.0,Issuing a written warning,95.0,112.0,fr,"Dear brother When I saw you one week ago, I forgot to say you I had met Jean Paul, your old friend. If I remenbered exactly, you haven't him for more than twenty years, did you ! We have talked a lot about you and he asked me for some news and your email. I'll not surprised if you'll receive some news from him. He was very excited to see you again. He got married now, has two kids, a boy and a girl, and travels often in foreign countries for business. Tell me all your news and it would be a good surprise to go to a dinner together. Take care Robert",receive,informal,1,1,will,3
174,French,B1,3.0,Reviewing a song for a website,95.0,111.0,fr,"My office is a little bit noisy. There are about 10 employees in our open space and sometimes it's difficult to do a phone conference. However,the mood is very interesting. We take our lunch together everyday, give or take. Even if it's hard because of the project deadlines that we have to respect, everybody try to do his best so as to work for the team. When the weather is nice, we buy sandwiches and we take our lunch in the park besides our workplace. Sometimes we are about twenty. During the work some employees make some jokes, others are more serious and prefer stay focused on what they do.",however,neutral essay,1,0,,3
176,French,B1,3.0,Selling items in an online auction,80.0,118.0,fr,"I thought that the technology wich affected the most my life is the internet. I love learning new things, and you can find all kind of information on the web. Especialy in my work as physic teacher, I can find new situations for exercices, the last discoveries.... Internet has a good replacement of all my books, you get it in every place, it's take less space on your cupboard and you can compare more informations on a unique topic. I haven't joined a social network yet. Maybe I'm too old for it, I'm not interested in that. The mobile phone is more fun because you can keeping in touch with your friends but it's less useful for me.",place,neutral essay,0,0,,3
178,French,B1,3.0,Giving instructions to play a game,95.0,100.0,fr,"I'm not optimistic for the future. Scientist community only talk about positive things like green energies, gain of time thanks robots help, medical progress...They're created new needs totaly superficials. The scene upside down is creepy ! For me, new technology rhymes with humankind slavery. The NTIC like cell phone, GPS andamp; social network, permit to spy population. We just have to look what they're doing in North America with the Very Chip program...  Now you can give life without cuple. What's next ? Trying to replace human by humanoid ?  Science fiction is catching up reality. The famous writter Orwell was right.",permit,ambiguous,1,1,can,3
179,French,B1,3.0,Signing a waiver to go skydiving,90.0,109.0,fr,"In my country, nowadays, smoking is prohibited in almost public places. When I was younger, I remember that two choices were possible if you traveled by train: you could have a seat in smoking or not smoking compartment. You could smoke everywhere: at a TV show for example,  guests sometimes smoked, even the presenter. I had a teacher who smoked in the classroom. This seems unthinkable today. I totally agree with the actual limitation of smoking, I think it's more enjoyable, healthy. What makes me definitely nostalgic is the atmosphere in bars, when I look at old movies on jazz musicians. Our world is certainly healthier but... slightly annoying.",place,neutral essay,1,0,,3
179,French,B1,3.0,Signing a waiver to go skydiving,90.0,109.0,fr,"In my country, nowadays, smoking is prohibited in almost public places. When I was younger, I remember that two choices were possible if you traveled by train: you could have a seat in smoking or not smoking compartment. You could smoke everywhere: at a TV show for example,  guests sometimes smoked, even the presenter. I had a teacher who smoked in the classroom. This seems unthinkable today. I totally agree with the actual limitation of smoking, I think it's more enjoyable, healthy. What makes me definitely nostalgic is the atmosphere in bars, when I look at old movies on jazz musicians. Our world is certainly healthier but... slightly annoying.",prohibit,neutral essay,1,0,,3
180,French,B1,3.0,Giving instructions to play a game,80.0,61.0,fr,I'm very pessimistic about the future. I believe that search always performance it's bad. Using technology like electic cars or sun request sometimes more expensive manufacturing energy and material. the new tehcnologies are not in line with the so-called green consumption. It is the general consumption must evolve. I think that life it will be not good in the future.,request,informal,1,1,ask,3
182,French,B2,4.0,Helping a friend find a job,40.0,155.0,fr,"At the very beginning of the meeting the CEO required the attention of the assistans. She read the agenda and said that there was three subjet to discuss. After that she thanks the people for coming and started to expose the purpose of the meeting. They faced problems with the new merger, mainly because of the missing comunication. Two assistants agreed and exposed severals examples: no phone call answer neither email answer. The CFO proposed a team building and the CEO agreed. Anothe assistant proposed to make echanges inside the teams for three weeks to share acknowledge and explain the organisation of both companies.The second point of the agenda was the CFO dismiss and the replace. Everybody agreed with the new candidate. The three item in the agenda was the trip of the CEO to the other company.At the end of the meeting the CEO thanks all for coming and conclude the meeting.",discuss,news,0,0,,3
183,French,B2,4.0,Writing up survey findings,90.0,193.0,fr,"I have been living in the South West of France since 2000 and I have discovered that each region has its custom which makes it special. So, I'd like to speak about a traditional dance called' La Danse sur Echasses' of that agricultural region where I am living. In ancient times, because it  was a marshy area, when shepherds were guardering their flocks of sheep, they had to use stilts for walking. Thanks to that elevating position of moving, they could take advantage of it. First, even in wetlands, they could easily look after their flocks. Then, they could see over the hills and so far away in the country that they never got lost. Unfortunately,little by littlle,shepherds,herds,woods began to disappear with the development of industrialization. Despite of that, the traditional stilts weren't all-forgotten and  became an important accessory of dancing! Nowadays, if you like traditional folk entertainment, you can attend an open-air show. What an engaging performance! I love watching these kind of dancers who are wearing bright colored costumes . How fascinating they are when they began to dance round in circles with those strange shoes!",ancient,neutral essay,0,0,,3
183,French,B2,4.0,Writing up survey findings,90.0,193.0,fr,"I have been living in the South West of France since 2000 and I have discovered that each region has its custom which makes it special. So, I'd like to speak about a traditional dance called' La Danse sur Echasses' of that agricultural region where I am living. In ancient times, because it  was a marshy area, when shepherds were guardering their flocks of sheep, they had to use stilts for walking. Thanks to that elevating position of moving, they could take advantage of it. First, even in wetlands, they could easily look after their flocks. Then, they could see over the hills and so far away in the country that they never got lost. Unfortunately,little by littlle,shepherds,herds,woods began to disappear with the development of industrialization. Despite of that, the traditional stilts weren't all-forgotten and  became an important accessory of dancing! Nowadays, if you like traditional folk entertainment, you can attend an open-air show. What an engaging performance! I love watching these kind of dancers who are wearing bright colored costumes . How fascinating they are when they began to dance round in circles with those strange shoes!",since,neutral essay,0,0,,3
184,French,B2,4.0,Finding a home for a wealthy client,80.0,138.0,fr,"-The graph of the National Sales show a siginificant increase before a significant decrease. Seeing in details, we notice those sales increase gradually from 2004 to 2005, then stay steady. A sharp growth happens in 2006 until middle of 2007, followed by an unexpected fell. Since middle of 2007, national sales decrease slitghtly. -The graph of the Internationnal sales seems like a stairway. It rose sharply during the first semester of 2004, then slowly untill middle of 2005, where we had an dramatic decrease. We had after a steady level untill 2007, and the same sudden fell in the firts months of 2007, before again a steady level.  -To compare both lines, we could say that International sales are the double of the national sales in 2005. And, it's the contrary in 2008. They are equialent in 2006.",decrease,academic,0,0,,3
184,French,B2,4.0,Finding a home for a wealthy client,80.0,138.0,fr,"-The graph of the National Sales show a siginificant increase before a significant decrease. Seeing in details, we notice those sales increase gradually from 2004 to 2005, then stay steady. A sharp growth happens in 2006 until middle of 2007, followed by an unexpected fell. Since middle of 2007, national sales decrease slitghtly. -The graph of the Internationnal sales seems like a stairway. It rose sharply during the first semester of 2004, then slowly untill middle of 2005, where we had an dramatic decrease. We had after a steady level untill 2007, and the same sudden fell in the firts months of 2007, before again a steady level.  -To compare both lines, we could say that International sales are the double of the national sales in 2005. And, it's the contrary in 2008. They are equialent in 2006.",increase,academic,0,0,,3
184,French,B2,4.0,Finding a home for a wealthy client,80.0,138.0,fr,"-The graph of the National Sales show a siginificant increase before a significant decrease. Seeing in details, we notice those sales increase gradually from 2004 to 2005, then stay steady. A sharp growth happens in 2006 until middle of 2007, followed by an unexpected fell. Since middle of 2007, national sales decrease slitghtly. -The graph of the Internationnal sales seems like a stairway. It rose sharply during the first semester of 2004, then slowly untill middle of 2005, where we had an dramatic decrease. We had after a steady level untill 2007, and the same sudden fell in the firts months of 2007, before again a steady level.  -To compare both lines, we could say that International sales are the double of the national sales in 2005. And, it's the contrary in 2008. They are equialent in 2006.",significant,academic,0,0,,3
184,French,B2,4.0,Finding a home for a wealthy client,80.0,138.0,fr,"-The graph of the National Sales show a siginificant increase before a significant decrease. Seeing in details, we notice those sales increase gradually from 2004 to 2005, then stay steady. A sharp growth happens in 2006 until middle of 2007, followed by an unexpected fell. Since middle of 2007, national sales decrease slitghtly. -The graph of the Internationnal sales seems like a stairway. It rose sharply during the first semester of 2004, then slowly untill middle of 2005, where we had an dramatic decrease. We had after a steady level untill 2007, and the same sudden fell in the firts months of 2007, before again a steady level.  -To compare both lines, we could say that International sales are the double of the national sales in 2005. And, it's the contrary in 2008. They are equialent in 2006.",since,academic,0,0,,3
185,French,B2,4.0,Writing an advertising blurb,95.0,106.0,fr,"Let me tell us about the new self-helped book "" How to Make a Career out of Courage "" by Judith's Wight's. The strength of this book is that it helps workers to consider what interest they find in their profession or could find in another one. The weakness of this book is that it's not very realistic in the context of crisis and difficulties to get a work. But finally, it will help some people to change a difficult work which is boring with another which will be more exciting ! It claims that the search for the perfect career is a lot easier that it seems !",consider,neutral essay,1,1,discuss,3
188,French,B2,4.0,Attending a leadership course,90.0,128.0,fr,"In my office, I was always working very hard and I didn't have any promotion! One day, I needed some advice of other colleague. Her desk was near the director's desk and she was very appreciated by him. She told me I would meet the director to tell him my request. So, I did! I was very satisfied because he received me very well and listened to me with attention. So, he gave me a positive answer. I was very happy and I thanked him for his great help. In the same time, I decided to show better all that I was doing in my work and explain with more and more details to value my goals. It was successful! What wasn't my surprise when he promoted me!",request,neutral essay,0,0,,2
189,French,B2,4.0,Setting rules for social networking,80.0,211.0,fr,"I'm a young entrepreneur. I'm just 27 years old and I've just finished my studies in Management. I love read books, newspapers. Before, I bought so much books in libraries when I wanted to read one. I went to the library with my car and bought the book I needed. And after came back home. It took me a lot of time to get a book or a journal I needed to read. But since I've bought a tablet, I feel like all is now easier. For be informed about the economic situation, the companies situations, or the political situation where I project to invest around the world, I need to get some informations as quickly as possible. Before when I went to the kiosk to get a newspaper or a business magazine, that took me a lot of time. And now with my tablet, I just have to click on an icone in the screen of my tablet and, without taking time to go to the kiosk, I have my journal or my mazagine in my tablet and I can read it immediatly. What took me ten minutes before, takes me now just hum... one minute.%% I enjoy how the media with technology get us the life easier than before.",inform,neutral essay,0,0,,2
